step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.06544017791748,0.0,0.0,DRL,28.76651364642629,2.0,-1.986165165901184
2,0.052333101630210876,-0.052003711462020874,-13.23302936553955,0.0,0.0,DRL,28.708795277093753,2.0,-1.986535668373108
3,0.31100013852119446,-0.30664074420928955,-13.3671293258667,0.0,0.0,DRL,28.557567286339975,2.0,-1.984309434890747
4,0.7442687153816223,-0.7328235507011414,-13.419246673583984,0.0,0.0,DRL,28.005253226677244,2.0,-1.9828733205795288
5,1.2776368856430054,-1.2586922645568848,-13.41879653930664,0.0,0.0,DRL,27.650170609476532,2.0,-1.9610098600387573
6,1.8818683624267578,-1.855139136314392,-13.400248527526855,0.0,0.0,DRL,27.103710540828136,2.0,-1.84591805934906
7,2.522289514541626,-2.4828896522521973,-13.381950378417969,0.0,0.0,DRL,26.46165947897106,2.0,-0.24914157390594482
8,3.1886844635009766,-3.0758893489837646,-13.403636932373047,0.0,0.0,DRL,25.7537569450841,2.0,1.6072988510131836
9,3.870457887649536,-3.4351799488067627,-13.569295883178711,0.0,0.0,DRL,25.314712570498866,2.0,1.8890020847320557
10,4.565291881561279,-3.4645450115203857,-13.732091903686523,0.0,0.0,DRL,24.54603963733446,2.0,1.9233407974243164
11,5.258980751037598,-3.2370526790618896,-13.801915168762207,0.0,0.0,DRL,23.825711520418796,2.0,1.8598041534423828
12,5.967376232147217,-2.8317227363586426,-13.807791709899902,0.0,0.0,DRL,23.029953831047013,2.0,1.5445120334625244
13,6.665200710296631,-2.339801788330078,-13.784104347229004,0.0,0.0,DRL,22.330807067500277,2.0,0.10783004760742188
14,7.364640235900879,-1.8597114086151123,-13.78785228729248,0.0,0.0,DRL,21.58017405526289,2.0,-1.4166523218154907
15,8.066048622131348,-1.575233817100525,-13.915592193603516,0.0,0.0,DRL,20.924288130312245,2.0,-1.7873464822769165
16,8.768367767333984,-1.5776724815368652,-14.05976676940918,0.0,0.0,DRL,20.19767522354077,2.0,-1.7672113180160522
17,9.471002578735352,-1.8102308511734009,-14.129343032836914,0.0,0.0,DRL,19.449265941106848,2.0,-1.2955907583236694
18,10.179100036621094,-2.182062864303589,-14.116414070129395,0.0,0.0,DRL,18.80185761282918,2.0,0.2967367172241211
19,10.881315231323242,-2.5526907444000244,-14.12050724029541,0.0,0.0,DRL,18.251259654257268,2.0,1.4802451133728027
20,11.584370613098145,-2.7331717014312744,-14.228466987609863,0.0,0.0,DRL,17.446739501317644,2.0,1.8086066246032715
21,12.287705421447754,-2.655999183654785,-14.340551376342773,0.0,0.0,DRL,16.748605748404746,2.0,1.687757968902588
22,12.991068840026855,-2.3757855892181396,-14.387505531311035,0.0,0.0,DRL,16.046596686445806,2.0,1.2833118438720703
23,13.699625015258789,-1.9795421361923218,-14.369290351867676,0.0,0.0,DRL,15.293552753963935,2.0,-0.30018067359924316
24,14.40688419342041,-1.5944960117340088,-14.371347427368164,0.0,0.0,DRL,14.502753420225023,2.0,-1.3754595518112183
25,15.113058090209961,-1.4016350507736206,-14.458672523498535,0.0,0.0,DRL,13.830084353799917,2.0,-1.5810034275054932
26,15.818611145019531,-1.453010082244873,-14.530113220214844,0.0,0.0,DRL,13.149283552255879,2.0,-1.7328910827636719
27,16.51905632019043,-1.698628306388855,-14.562532424926758,0.0,0.0,DRL,12.384808475217197,2.0,-1.3173877000808716
28,17.22075843811035,-2.071336269378662,-14.557296752929688,0.0,0.0,DRL,11.796786494306284,2.0,-0.6363356113433838
29,17.928245544433594,-2.4760048389434814,-14.532837867736816,0.0,0.0,DRL,11.222630630004941,2.0,0.45573997497558594
30,18.630033493041992,-2.793722629547119,-14.556204795837402,0.0,0.0,DRL,10.561680274102448,2.0,1.476637363433838
31,19.332847595214844,-2.9141554832458496,-14.651993751525879,0.0,0.0,DRL,9.924000949822403,2.0,1.1477365493774414
32,20.04119110107422,-2.8250744342803955,-14.683500289916992,0.0,0.0,DRL,9.103505714936855,2.0,-0.12644171714782715
33,20.74849510192871,-2.6433444023132324,-14.657079696655273,0.0,0.0,DRL,8.511554170746095,2.0,-0.9526959657669067
34,21.45023536682129,-2.5414297580718994,-14.676268577575684,0.0,0.0,DRL,7.770156195346881,2.0,-1.408736228942871
35,22.15304183959961,-2.602342367172241,-14.722570419311523,0.0,0.0,DRL,7.126687579448075,2.0,-1.356995701789856
36,22.85643768310547,-2.8190433979034424,-14.74666976928711,0.0,0.0,DRL,6.537884123194371,2.0,-0.8163003921508789
37,23.56611442565918,-3.1268303394317627,-14.74190616607666,0.0,0.0,DRL,6.026765995895602,2.0,0.3367629051208496
38,24.268796920776367,-3.4077579975128174,-14.7398042678833,0.0,0.0,DRL,5.485383173977131,2.0,1.2256438732147217
39,24.97129249572754,-3.5320305824279785,-14.798367500305176,0.0,0.0,DRL,4.964836011455642,2.0,1.177764892578125
40,25.67441749572754,-3.4643142223358154,-14.841547012329102,0.0,0.0,DRL,4.473346704229002,2.0,-0.2734808921813965
41,26.382923126220703,-3.3031535148620605,-14.81886100769043,0.0,0.0,DRL,3.750541679820356,2.0,-1.8076128959655762
42,27.085535049438477,-3.2571043968200684,-14.887678146362305,0.0,0.0,DRL,3.2644587764767823,2.0,-1.9273569583892822
43,27.78852653503418,-3.4442601203918457,-14.973730087280273,0.0,0.0,DRL,2.9587048385666717,2.0,-1.8067188262939453
44,28.491666793823242,-3.8120527267456055,-15.004150390625,0.0,0.0,DRL,2.975498103787619,2.0,0.0
45,29.2000732421875,-4.239572525024414,-14.993136405944824,0.0,0.0,DRL,3.189599605837489,2.0,1.6175761222839355
46,29.90852928161621,-4.481603145599365,-15.118289947509766,0.0,0.0,DRL,3.374958010226102,2.0,1.937842845916748
47,30.61035919189453,-4.433185577392578,-15.242918014526367,0.0,0.0,DRL,3.356440386111082,2.0,1.9456195831298828
48,31.3120059967041,-4.1521148681640625,-15.295738220214844,0.0,0.0,DRL,3.2311279832894986,2.0,1.865509271621704
49,32.0142707824707,-3.716111421585083,-15.304065704345703,0.0,0.0,DRL,3.08004047946597,2.0,1.4728646278381348
50,32.71703338623047,-3.200697660446167,-15.292579650878906,0.0,0.0,DRL,3.092264536535895,2.0,-0.6676268577575684
51,33.420291900634766,-2.738849639892578,-15.35307502746582,0.0,0.0,DRL,3.2778949916034197,2.0,-1.9564993381500244
52,34.128318786621094,-2.5542609691619873,-15.535030364990234,0.0,0.0,DRL,3.7885543853386814,2.0,-1.9702496528625488
53,34.8345947265625,-2.6770448684692383,-15.653106689453125,0.0,0.0,DRL,4.449839039008111,2.0,-1.8056405782699585
54,35.5352897644043,-3.009226083755493,-15.679924011230469,0.0,0.0,DRL,5.099721732470448,2.0,0.40242934226989746
55,36.2370719909668,-3.40026593208313,-15.6847562789917,0.0,0.0,DRL,5.974174344017404,2.0,1.963982343673706
56,36.94432830810547,-3.576476812362671,-15.833219528198242,0.0,0.0,DRL,6.700922205274632,2.0,1.9957866668701172
57,37.64518737792969,-3.4493515491485596,-15.962968826293945,0.0,0.0,DRL,7.203702855067156,2.0,1.997098445892334
58,38.34669494628906,-3.1050941944122314,-16.01194190979004,0.0,0.0,DRL,7.707265932829389,2.0,1.9984607696533203
59,39.04890060424805,-2.619199752807617,-16.024063110351562,0.0,0.0,DRL,8.35447237681691,2.0,1.999129056930542
60,39.75156021118164,-2.0459742546081543,-16.023828506469727,0.0,0.0,DRL,8.862088710586466,2.0,1.9987850189208984
61,40.45454406738281,-1.4202057123184204,-16.020349502563477,0.0,0.0,DRL,9.364080751255544,2.0,1.9966905117034912
62,41.16261672973633,-0.7589462995529175,-15.995734214782715,0.0,0.0,DRL,9.991918396499946,2.0,1.9809918403625488
63,41.869407653808594,-0.08082234114408493,-15.967192649841309,0.0,0.0,DRL,10.753156715009483,2.0,1.8127036094665527
64,42.570404052734375,0.5963625311851501,-15.946345329284668,0.0,0.0,DRL,11.501404955525638,2.0,1.9544837474822998
65,43.27202224731445,1.266282320022583,-15.931857109069824,0.0,0.0,DRL,12.18522268550037,2.0,1.6401572227478027
66,43.97419738769531,1.930903434753418,-15.92253589630127,0.0,0.0,DRL,12.980132578872993,2.0,-1.3671109676361084
67,44.67702865600586,2.4594972133636475,-16.0782470703125,0.0,0.0,DRL,13.76232409133826,2.0,-1.993952751159668
68,45.38578414916992,2.6131510734558105,-16.350290298461914,0.0,0.0,DRL,14.528909521315049,2.0,-1.9993916749954224
69,46.082008361816406,2.4590115547180176,-16.497995376586914,0.0,0.0,DRL,15.13614832617367,2.0,-1.9993342161178589
70,46.784217834472656,2.0941808223724365,-16.554105758666992,0.0,0.0,DRL,15.817125853498837,2.0,-1.9979153871536255
71,47.486846923828125,1.5946036577224731,-16.572010040283203,0.0,0.0,DRL,16.364925480704635,2.0,-1.9792813062667847
72,48.18973922729492,1.0134809017181396,-16.5760440826416,0.0,0.0,DRL,15.657821916182286,2.0,1.8029444217681885
73,48.89308547973633,0.5197624564170837,-16.745773315429688,0.0,0.0,DRL,15.072030626101652,2.0,1.7934677600860596
74,49.59593200683594,0.40012088418006897,-17.00091552734375,0.0,0.0,DRL,14.187101808686876,2.0,1.903902530670166
75,50.30409240722656,0.5620620846748352,-17.125272750854492,0.0,0.0,DRL,13.630724526883727,2.0,1.949087381362915
76,51.017635345458984,0.9225255250930786,-17.15156364440918,0.0,0.0,DRL,12.864689362382897,2.0,1.9644064903259277
77,51.72358322143555,1.409477710723877,-17.14222526550293,0.0,0.0,DRL,12.154675833705035,2.0,1.9896981716156006
78,52.42350769042969,1.9749401807785034,-17.12923240661621,0.0,0.0,DRL,11.585495794791369,2.0,1.9989359378814697
79,53.12953567504883,2.5978832244873047,-17.105031967163086,0.0,0.0,DRL,11.128452366874773,2.0,1.7936499118804932
80,53.8302001953125,3.2432689666748047,-17.08390998840332,0.0,0.0,DRL,10.511420786288323,2.0,-1.8876323699951172
81,54.53208923339844,3.7486720085144043,-17.273822784423828,0.0,0.0,DRL,9.96988676184875,2.0,-1.9823980331420898
82,55.23403549194336,3.85170578956604,-17.552392959594727,0.0,0.0,DRL,9.438133754397551,2.0,-1.958989143371582
83,55.935489654541016,3.6642255783081055,-17.67812156677246,0.0,0.0,DRL,8.647812800190286,2.0,-1.7053556442260742
84,56.63748550415039,3.290295124053955,-17.70900535583496,0.0,0.0,DRL,7.874894506233654,2.0,0.3665425777435303
85,57.3451042175293,2.876542806625366,-17.71251678466797,0.0,0.0,DRL,7.081088977337471,2.0,1.9823753833770752
86,58.04718017578125,2.6950252056121826,-17.87565803527832,0.0,0.0,DRL,6.266871069181677,2.0,1.999528169631958
87,58.7493896484375,2.8194496631622314,-18.018423080444336,0.0,0.0,DRL,5.788874410720398,2.0,1.9943933486938477
88,59.45171356201172,3.162487745285034,-18.07402992248535,0.0,0.0,DRL,5.234018506516352,2.0,1.889026165008545
89,60.154380798339844,3.6442856788635254,-18.086353302001953,0.0,0.0,DRL,4.914188693976151,2.0,-0.040645599365234375
90,60.85749053955078,4.146632671356201,-18.1080379486084,0.0,0.0,DRL,4.7187850579350785,2.0,-1.722371220588684
91,61.565364837646484,4.4299163818359375,-18.264568328857422,0.0,0.0,DRL,4.479068881409143,2.0,-1.849814772605896
92,62.26667404174805,4.397327423095703,-18.410194396972656,0.0,0.0,DRL,4.074537500915137,2.0,-1.8113527297973633
93,62.968528747558594,4.135138511657715,-18.46700668334961,0.0,0.0,DRL,3.5111030619803225,2.0,-1.4793988466262817
94,63.67064666748047,3.6230030059814453,-18.455392837524414,0.0,0.0,DRL,2.7443877735413826,2.0,0.0
95,64.37199401855469,2.735646963119507,-18.187984466552734,0.0,0.0,DRL,1.680331194204217,2.0,1.9999589920043945
96,65.07331848144531,1.694145917892456,-18.152963638305664,0.0,0.0,SAFETY,0.5585418043586741,0.08647415335997846,1.9981296806765758
97,65.71113586425781,1.070613980293274,-18.66326141357422,0.0,0.0,SAFETY,0.1011246629680804,1.1065905389051254,1.6659704016595447
98,66.1932601928711,0.7992814779281616,-19.00785255432129,0.0,0.0,SAFETY,0.3661669687192687,1.6616705687961337,1.1130368011870653
99,66.63204956054688,0.7452712059020996,-19.111465454101562,0.0,0.0,SAFETY,0.6627346742443436,1.8192896234647598,0.830773895806466
100,67.1090316772461,0.7856131792068481,-19.13546371459961,0.0,0.0,SAFETY,1.1092492931943196,1.8741946091093107,0.6981364960991501
101,67.64407348632812,0.8299372792243958,-19.139358520507812,0.0,0.0,DRL,1.665766437638021,2.0,0.6156191825866699
102,68.23165893554688,0.8407126069068909,-19.136974334716797,0.0,0.0,DRL,2.2247356666304876,2.0,0.17684507369995117
103,68.8677978515625,0.8237154483795166,-19.112918853759766,0.0,0.0,DRL,2.867381920945408,2.0,-1.5377579927444458
104,69.53221893310547,0.775420069694519,-19.117387771606445,0.0,0.0,DRL,3.3667937413800497,2.0,-1.8717637062072754
105,70.20918273925781,0.5630355477333069,-19.164505004882812,0.0,0.0,DRL,4.044318527593904,2.0,-1.9230695962905884
106,70.89691162109375,0.18636968731880188,-19.191553115844727,0.0,0.0,DRL,4.663025438709664,2.0,-1.8853343725204468
107,71.59098815917969,-0.3056955635547638,-19.19732666015625,0.0,0.0,DRL,5.4970682792623,2.0,0.2902185916900635
108,72.28907775878906,-0.8028954267501831,-19.230714797973633,0.0,0.0,DRL,6.133484800207141,2.0,1.6844892501831055
109,72.99451446533203,-1.063124179840088,-19.388092041015625,0.0,0.0,DRL,6.928898390160583,2.0,1.8983821868896484
110,73.69440460205078,-1.0150169134140015,-19.526813507080078,0.0,0.0,DRL,7.702007419534134,2.0,1.876509189605713
111,74.39537048339844,-0.7375459671020508,-19.58428955078125,0.0,0.0,DRL,8.203900921364543,2.0,1.6690258979797363
112,75.09736633300781,-0.31565335392951965,-19.591732025146484,0.0,0.0,DRL,8.915812214811254,2.0,0.9944992065429688
113,75.8000717163086,0.16007281839847565,-19.582773208618164,0.0,0.0,DRL,9.576130468140144,2.0,-1.9924112558364868
114,76.5077896118164,0.4988441467285156,-19.732833862304688,0.0,0.0,DRL,10.37253373176964,2.0,-1.9953014850616455
115,77.21378326416016,0.49052906036376953,-19.911251068115234,0.0,0.0,DRL,11.163352568176865,2.0,-1.9863063097000122
116,77.91402435302734,0.22632408142089844,-19.976791381835938,0.0,0.0,DRL,11.72837333170136,2.0,-1.9429107904434204
117,78.61544799804688,-0.2064651995897293,-19.988859176635742,0.0,0.0,DRL,12.549707877897685,2.0,-0.15079963207244873
118,79.31765747070312,-0.68913334608078,-19.98887062072754,0.0,0.0,DRL,13.160135461566602,2.0,0.5683135986328125
119,80.02076721191406,-1.0249545574188232,-20.054624557495117,0.0,0.0,DRL,13.949649314665436,2.0,0.9828126430511475
120,80.72442626953125,-1.1576602458953857,-20.128131866455078,0.0,0.0,DRL,14.629575858745149,2.0,0.6361279487609863
121,81.42843627929688,-1.1258010864257812,-20.151607513427734,0.0,0.0,DRL,15.30290167101306,2.0,-0.1282963752746582
122,82.1324462890625,-1.030312418937683,-20.147823333740234,0.0,0.0,DRL,16.06341087242186,2.0,0.018984079360961914
123,82.83645629882812,-0.9630918502807617,-20.1461181640625,0.0,0.0,DRL,16.623050072618256,2.0,0.21559882164001465
124,83.54112243652344,-0.9157743453979492,-20.143192291259766,0.0,0.0,DRL,17.463916182337414,2.0,0.5441808700561523
125,84.24603271484375,-0.8539602160453796,-20.143728256225586,0.0,0.0,DRL,18.073081257873,2.0,0.8771154880523682
126,84.95548248291016,-0.7413404583930969,-20.127851486206055,0.0,0.0,DRL,18.822434314828,2.0,0.9964044094085693
127,85.66310119628906,-0.5576182007789612,-20.108644485473633,0.0,0.0,DRL,19.496051649653733,2.0,0.8353266716003418
128,86.36479949951172,-0.3174370229244232,-20.090391159057617,0.0,0.0,DRL,20.20445547149084,2.0,0.25243425369262695
129,87.06745147705078,-0.06751160323619843,-20.07825469970703,0.0,0.0,DRL,20.896143424487644,2.0,-0.018355250358581543
130,87.77069854736328,0.1277889907360077,-20.078716278076172,0.0,0.0,DRL,21.70701692974332,2.0,1.9996962547302246
131,88.4747085571289,0.3111782670021057,-20.101057052612305,0.0,0.0,DRL,22.261153501503575,2.0,1.9997577667236328
132,89.17871856689453,0.649261474609375,-20.151208877563477,0.0,0.0,DRL,23.093855052938594,2.0,1.9994220733642578
133,89.88272857666016,1.1255345344543457,-20.173389434814453,0.0,0.0,DRL,23.809085010555403,2.0,1.9850564002990723
134,90.58629608154297,1.6917500495910645,-20.179718017578125,0.0,0.0,DRL,24.401670155307706,2.0,1.5003583431243896
135,91.2894058227539,2.298279047012329,-20.177398681640625,0.0,0.0,DRL,25.278296740677668,2.0,-1.306479811668396
136,91.99307250976562,2.7885234355926514,-20.318286895751953,0.0,0.0,DRL,26.01913537550347,2.0,-1.9566506147384644
137,92.69642639160156,2.9271140098571777,-20.567459106445312,0.0,0.0,DRL,26.664845803399317,2.0,-1.9873239994049072
138,93.39877319335938,2.7663567066192627,-20.71050262451172,0.0,0.0,DRL,27.293675727914103,2.0,-1.9892501831054688
139,94.1063232421875,2.4004929065704346,-20.741044998168945,0.0,0.0,DRL,28.008306116866304,2.0,-1.969518780708313
140,94.80806732177734,1.9054816961288452,-20.737049102783203,0.0,0.0,DRL,28.675763440774773,2.0,-1.8077607154846191
141,95.5102767944336,1.335005283355713,-20.72400665283203,0.0,0.0,DRL,29.270227280588028,2.0,-1.2889732122421265
142,96.21312713623047,0.7474532127380371,-20.71305274963379,0.0,0.0,DRL,30.014479336980667,2.0,0.08025908470153809
143,96.9162368774414,0.23984311521053314,-20.75558090209961,0.0,0.0,DRL,30.70454045514185,2.0,1.092801570892334
144,97.61976623535156,-0.05205057933926582,-20.87700653076172,0.0,0.0,DRL,31.503961342164622,2.0,1.3865203857421875
145,98.32377624511719,-0.09348583221435547,-20.98528480529785,0.0,0.0,DRL,32.28205590822251,1.9999797344207764,1.9650483131408691
