step,x,y,z,vx,vy,mode,nearest_obs
1,0.0,0.0,-5.0,0.0,0.0,GLOBAL,4.29408036159327
2,0.6363961030678928,0.6363961030678928,-5.0,2.121320343559643,2.121320343559643,GLOBAL,4.2834771126883995
3,1.2727922061357857,1.2727922061357857,-5.0,2.1213203435596424,2.1213203435596424,SAFETY,4.303646533114979
4,1.156726548329422,0.838017824326121,-5.0,-0.3868855260212122,-1.4492479393655489,GLOBAL,4.236323794847541
5,1.8212476917689913,1.4449870574193378,-5.0,2.2150704781318975,2.023230776977389,SAFETY,4.29544619817975
6,1.7925332224187782,0.9959041260470403,-5.0,-0.09571489783404355,-1.4969431045743251,SAFETY,4.207662877270055
7,1.7481796855767617,0.5480952786918281,-5.0,-0.14784512280672152,-1.4926961578507076,GLOBAL,4.250944243801837
8,2.2839552323426786,1.2712443390436223,-5.0,1.7859184892197226,2.4104968678393144,SAFETY,4.350788252208826
9,2.333250649674844,0.8239525306790518,-5.0,0.16431805777388567,-1.4909726945485682,GLOBAL,4.195280887266455
10,2.7871061915006283,1.6011366447434243,-5.0,1.5128518060859477,2.5906137135479086,SAFETY,4.222180704604074
11,2.9235582409750593,1.1723233541445586,-5.0,0.45484016491477075,-1.4293776353295526,SAFETY,4.173110233798005
12,3.0572753640885337,0.7426493719368201,-5.0,0.44572374371158086,-1.4322466073591285,GLOBAL,4.2319887411959725
13,3.389075665814239,1.5792547506995502,-5.0,1.1060010057523502,2.7886845958757673,SAFETY,4.388204303671443
14,3.6290913325521497,1.1986073026319766,-5.0,0.800052222459702,-1.2688248268919124,GLOBAL,4.284633522222479
15,3.841904713286046,2.073084555040871,-5.0,0.7093779357796548,2.9149241746963153,SAFETY,4.267111953219476
16,4.149508733397958,1.7446340004500924,-5.0,1.0253467337063753,-1.0948351819692623,GLOBAL,4.265815821059946
17,4.359281265760016,2.619845680368962,-5.0,0.699241774540193,2.9173722663962307,GLOBAL,4.2838521690985605
18,4.706482539217036,3.4501777077591043,-5.0,1.1573375781900648,2.7677734246338077,GLOBAL,4.213280484160146
19,5.157905978891532,4.228777012994119,-5.0,1.5047447989149878,2.5953310174500466,GLOBAL,4.216415739942178
20,5.6493482883903425,4.913327357146765,-5.0,1.638141031662702,2.2818344805088215,GLOBAL,4.398910558478447
21,6.240654502759604,5.591823459455609,-5.0,1.971020714564204,2.261653674362813,GLOBAL,4.277631661393164
22,6.8464801424748005,6.2573873514026355,-5.0,2.019418799050656,2.218546306490087,GLOBAL,4.238068386832287
23,7.463007343375031,6.913050535171655,-5.0,2.055090669667435,2.1855439458967307,GLOBAL,4.229150568039483
24,8.042154038856268,7.5146777943444105,-5.0,1.930488984937454,2.0054241972425184,GLOBAL,4.488499086210316
25,8.673451644936316,8.156131871077578,-5.0,2.10432535360016,2.1381802557772254,GLOBAL,4.425414470309553
26,9.306361714426187,8.795995015772073,-5.0,2.1097002316329028,2.1328771489816463,GLOBAL,4.4902059916481125
