step,x,y,z,vx,vy,mode,nearest_obs,action_x,action_y
1,0.0,0.0,-13.06337833404541,0.0,0.0,DRL,28.75815197128226,2.0,-1.986290454864502
2,0.051036667078733444,-0.050725288689136505,-13.232029914855957,0.0,0.0,DRL,28.808610009610128,2.0,-1.9855226278305054
3,0.30982494354248047,-0.3054831922054291,-13.366073608398438,0.0,0.0,DRL,28.481974750120468,2.0,-1.984865427017212
4,0.7335696816444397,-0.7222519516944885,-13.41784381866455,0.0,0.0,DRL,28.061880698365496,2.0,-1.9821436405181885
5,1.2704882621765137,-1.251586675643921,-13.418534278869629,0.0,0.0,DRL,27.63091000671474,2.0,-1.9611668586730957
6,1.8709536790847778,-1.8442400693893433,-13.407000541687012,0.0,0.0,DRL,27.08007718789225,2.0,-1.852876901626587
7,2.5171561241149902,-2.4778642654418945,-13.38214111328125,0.0,0.0,DRL,26.364506000953163,2.0,-0.29031968116760254
8,3.1831533908843994,-3.072537899017334,-13.39542007446289,0.0,0.0,DRL,25.854673412002057,2.0,1.6091163158416748
9,3.8664612770080566,-3.431931734085083,-13.575803756713867,0.0,0.0,DRL,25.26550523861188,2.0,1.897801399230957
10,4.558464050292969,-3.455810070037842,-13.767772674560547,0.0,0.0,DRL,24.59040126386525,2.0,1.9194636344909668
11,5.253779411315918,-3.229565143585205,-13.836501121520996,0.0,0.0,DRL,23.82697096318307,2.0,1.8379530906677246
12,5.951672077178955,-2.8330211639404297,-13.845287322998047,0.0,0.0,DRL,23.14326444542198,2.0,1.5442028045654297
13,6.651775360107422,-2.3428232669830322,-13.83189582824707,0.0,0.0,DRL,22.323901308551356,2.0,0.09354901313781738
14,7.358219146728516,-1.8601258993148804,-13.830609321594238,0.0,0.0,DRL,21.528221253027727,2.0,-1.4020299911499023
15,8.059537887573242,-1.577558159828186,-13.950176239013672,0.0,0.0,DRL,20.921135933064747,2.0,-1.7791271209716797
16,8.761734962463379,-1.5798015594482422,-14.087719917297363,0.0,0.0,DRL,20.179065792344225,2.0,-1.7666637897491455
